,0
2020-08-28,-3.2062790799178913
2020-09-04,-298.89587859997073
2020-09-11,1.139358619693212
2020-09-18,-221.74781497287503
2020-09-25,-653.4130524269924
2020-10-02,-11.073616680775586
2020-10-09,252.66800105618626
2020-10-16,-242.67520839137677
2020-10-23,8.494136080622297
2020-10-30,-450.027385608017
2020-11-06,44.31528958674866
2020-11-13,1265.1976714627394
2020-11-20,449.2542942413007
2020-11-27,590.6761961311674
2020-12-04,408.2333241442804
2020-12-11,36.676100277786986
2020-12-18,-285.44912051273894
2020-12-24,-112.30180294471694
2020-12-31,-196.9115907612603
2021-01-08,212.16942056310677
2021-01-15,278.02096759616416
2021-01-22,-139.581202586786
2021-01-29,57.566456044630854
2021-02-05,-50.05434686768723
2021-02-12,324.3473024130901
2021-02-19,238.630573380964
2021-02-26,277.856092667702
2021-03-05,619.2823157438013
2021-03-12,31.898082627607035
2021-03-19,-482.8970020627404
2021-03-26,61.22534752314297
2021-04-01,26.715798816770125
2021-04-09,-289.27387842159595
2021-04-16,-102.24734950790919
2021-04-23,-121.15527453063446
2021-04-30,53.845788841708696
2021-05-07,635.4012105382969
2021-05-14,-6.946922214248245
2021-05-21,51.47678681465616
2021-05-28,-236.61093125225926
2021-06-04,-35.366646842484414
2021-06-11,-44.144369385253526
2021-06-18,-173.98471420007067
2021-06-25,-3.191863318611226
2021-07-02,-98.61224793770924
2021-07-09,91.76988392618614
2021-07-16,-172.85829221598226
2021-07-23,-23.86612401806693
2021-07-30,-95.2795825233581
2021-08-06,3.607333470217263
2021-08-13,44.966364815722386
2021-08-20,-75.30598957638058
2021-08-27,133.60236273699576
2021-09-03,-66.00998486535485
2021-09-10,28.343357901942355
2021-09-17,-85.53670804561804
2021-09-24,300.0593373892336
2021-10-01,374.5765746975798
2021-10-08,365.15471439726934
2021-10-15,184.19864026016006
2021-10-22,0.5173058010086429
2021-10-29,-196.9813322718848
2021-11-05,-46.81360019460024
2021-11-12,-116.266135341455
2021-11-19,61.13535851025985
2021-11-26,-84.09235724279247
2021-12-03,-37.50471621878258
2021-12-10,-23.82553983575915
2021-12-17,-356.3796807991617
2021-12-23,-116.20727898456161
2021-12-31,-47.3818540395189
2022-01-07,744.6178338178564
2022-01-14,396.59069049104227
2022-01-21,-366.98309274110125
2022-01-28,17.519101971187283
2022-02-04,302.8707214898208
2022-02-11,195.53892659942295
2022-02-18,-246.415317018456
2022-02-25,-9.837856176000791
2022-03-04,384.91637721255546
2022-03-11,192.17668954651015
2022-03-18,-186.43890291104958
2022-03-25,242.67392197171228
2022-04-01,-26.43438765436869
2022-04-08,-82.36504348450086
2022-04-14,64.4715243044833
2022-04-22,-255.26434863949913
2022-04-29,-16.819238308463056
2022-05-06,217.6672325439318
2022-05-13,-195.31133138948474
2022-05-20,85.72997695883737
2022-05-27,561.764853977153
2022-06-03,131.30529013974692
2022-06-10,-71.49413330913173
2022-06-17,-180.49842236978975
2022-06-24,244.49298695080847
2022-07-01,75.03954278844984
2022-07-08,-191.98796294382723
2022-07-15,85.57116230584677
2022-07-22,115.00124534727391
2022-07-29,705.258174445167
2022-08-05,-349.8716913347117
2022-08-12,93.88445337787826
2022-08-19,42.13328962602648
2022-08-26,241.40740572317776
2022-09-02,-254.76631839564965
2022-09-09,35.83852502106227
2022-09-16,-212.8908731805813
2022-09-23,-51.42887468762957
2022-09-30,-46.82919363461808
2022-10-07,763.307215514385
2022-10-14,-137.67090598100495
2022-10-21,-29.07602144788016
2022-10-28,172.47423018271348
2022-11-04,228.66045827802975
2022-11-11,144.0688718852453
2022-11-18,-103.42137923813713
2022-11-25,168.90296936960937
2022-12-02,-78.32763545627654
2022-12-09,35.15253887703347
2022-12-16,-35.63006676672414
2022-12-23,308.66698597728544
2022-12-30,-8.490646859868898
2023-01-06,-38.85687353797942
2023-01-13,49.40528400745649
2023-01-20,46.69552706703174
2023-01-27,72.50988061014544
2023-02-03,-322.08524434782817
2023-02-10,-45.906357682369006
2023-02-17,-355.56101099243784
2023-02-24,-108.5323838224944
2023-03-03,211.19117364719023
2023-03-10,-415.02464854490404
2023-03-17,56.173417612779986
2023-03-24,-72.98084348540803
2023-03-31,419.5424921782634
2023-04-06,118.9528879353844
2023-04-14,167.6180792865532
2023-04-21,-218.99269665944675
2023-04-28,50.83847803953611
2023-05-05,-302.7058817791933
2023-05-12,96.63186970694493
2023-05-19,-102.29380262574912
2023-05-26,-50.11366317503655
2023-06-02,83.4682291961712
2023-06-09,128.08583252796197
2023-06-16,3.555156815894172
2023-06-23,-48.319481582786494
2023-06-30,121.46969021259737
2023-07-07,61.11002432623995
2023-07-14,9.23309055135342
2023-07-21,272.15071018730487
2023-07-28,158.82600081345794
2023-08-04,26.890253804474042
2023-08-11,227.5645512822433
2023-08-18,-100.82376459764708
2023-08-25,46.991045898353285
2023-09-01,-20.83332776472235
2023-09-08,121.34340455481961
2023-09-15,4.364332225706832
2023-09-22,-151.31001196047384
2023-09-29,-78.50893197183248
2023-10-06,-346.74185892073604
2023-10-13,-139.7806640746088
2023-10-20,24.442549005297547
2023-10-27,-214.48453644570446
2023-11-03,253.4051840267156
2023-11-10,-215.29005203202547
2023-11-17,238.24987253898652
2023-11-24,39.826738663078466
2023-12-01,23.441830520947764
2023-12-08,12.45922755408142
2023-12-15,-23.740556964485307
2023-12-22,126.53637335580748
2023-12-29,-62.10070867956071
2024-01-05,82.8671517796918
2024-01-12,-141.88780667901273
2024-01-19,-5.776607865374373
2024-01-26,96.98065892744802
2024-02-02,-152.86642423786213
2024-02-09,59.066832466644954
